temp,c
34.346,7.20454
34.34,9.99373
34.34,11.2061
34.34,11.4371
34.34,11.5486
34.33,9.04862
34.33,10.6913
34.33,11.5614
34.33,11.6449
34.33,11.7065
34.32,11.3755
34.32,11.4608
34.32,11.5227
34.314,11.3451
34.314,11.4504
34.31,11.2259
34.31,11.4434
34.304,7.83146
34.304,11.3433
34.3,1.82784
34.3,5.48124
34.3,9.28259
34.3,9.6432
34.3,11.1949
34.3,11.2349
34.3,11.2953
34.3,11.3503
34.3,11.6237
34.29,9.75866
34.29,10.261
34.29,10.8725
34.29,11.3734
34.28,1.88028
34.28,4.25898
34.28,5.49302
34.28,11.2762
34.28,11.3803
34.28,11.509
34.274,11.6094
34.27,7.28807
34.27,9.02398
34.27,11.1169
34.27,11.2751
34.27,11.3448
34.26,6.06333
34.26,11.1663
34.26,11.6435
34.26,11.6478
34.252,11.5237
34.25,10.4104
34.25,11.5401
34.25,11.6591
34.25,11.7072
34.24,2.43416
34.24,2.61041
34.24,6.19366
34.24,11.2343
34.24,11.3098
34.24,11.6514
34.23,-0.30927
34.23,5.16001
34.23,11.2266
34.23,11.3638
34.23,11.3756
34.23,11.5414
34.224,11.0117
34.22,-0.508874
34.22,11.6682
34.21,10.1448
34.21,11.5357
34.21,11.5862
34.21,11.6013
34.206,9.80281
34.204,11.2751
34.204,11.5271
34.2,9.39938
34.2,10.7387
34.2,11.3006
34.2,11.5657
34.2,11.6455
34.19,3.16307
34.19,9.30958
34.19,11.0314
34.19,11.3552
34.19,11.5518
34.189,11.3017
34.185,11.4336
34.184,6.32301
34.18,-0.987176
34.18,-0.421185
34.18,3.77677
34.18,5.58262
34.18,9.36222
34.18,10.4005
34.18,11.0597
34.18,11.1764
34.18,11.3062
34.18,11.4049
34.175,9.8819
34.172,11.4995
34.17,4.91773
34.17,7.23419
34.17,8.71087
34.17,11.3075
34.17,11.6232
34.165,1.93096
34.16,-1.69234
34.16,9.42834
34.16,9.75953
34.16,11.7035
34.155,5.31555
34.15,1.22725
34.15,3.63097
34.15,3.63599
34.15,10.8258
34.15,11.3556
34.15,11.7645
34.14,4.42245
34.14,11.3405
34.135,11.4845
34.13,7.88234
34.13,9.83456
34.13,11.615
34.13,11.6696
34.125,2.01408
34.125,11.374
34.12,2.67742
34.12,10.6998
34.12,11.0882
34.12,11.2893
34.12,11.3287
34.12,11.6513
34.12,11.7007
34.11,4.83308
34.11,9.67409
34.11,11.1679
34.11,11.3852
34.11,11.711
34.105,11.5738
34.1,10.6671
34.1,11.0456
34.1,11.3516
34.095,-0.882512
34.09,9.30028
34.09,11.0029
34.09,11.6023
34.089,11.4636
34.08,11.4774
34.08,11.4995
34.08,11.7845
34.075,5.21468
34.07,4.77536
34.07,9.03078
34.07,11.3
34.07,11.6135
34.069,11.566
34.065,8.1481
34.06,8.66815
34.06,11.1633
34.06,11.2012
34.06,11.5823
34.056,11.5124
34.05,-0.815733
34.05,11.0101
34.05,11.2698
34.05,11.6965
34.04,7.1208
34.04,11.2479
34.04,11.3382
34.035,11.6051
34.03,11.1339
34.03,11.1798
34.03,11.3023
34.03,11.3406
34.03,11.5427
34.03,11.6274
34.025,10.2127
34.02,11.2214
34.02,11.3508
34.02,11.3858
34.02,11.5439
34.02,11.5558
34.01,-1.89519
34.01,-1.76166
34.01,10.931
34.01,11.5521
34.01,11.5662
34,6.46247
34,9.82043
34,9.8774
34,11.3726
34,11.5809
34,11.7001
33.99,2.00217
33.99,3.7965
33.99,5.08218
33.99,11.321
33.99,11.3702
33.99,11.456
33.99,11.6624
33.98,-1.48892
33.978,11.4954
33.97,6.28287
33.97,9.39793
33.97,10.0121
33.97,10.527
33.97,11.3233
33.97,11.4819
33.96,2.08939
33.96,10.9181
33.96,11.0619
33.96,11.2583
33.96,11.3928
33.96,11.5487
33.96,11.5756
33.95,-1.71952
33.95,-1.32401
33.95,7.58698
33.95,11.3047
33.94,1.78182
33.94,8.75099
33.94,10.0301
33.94,11.3037
33.94,11.6369
33.94,11.6593
33.936,9.02013
33.93,10.2441
33.93,11.1621
33.93,11.3402
33.93,11.526
33.92,7.39993
33.92,7.45101
33.92,10.7734
33.92,11.2835
33.92,11.6369
33.92,11.6524
33.91,1.77973
33.91,3.84207
33.91,3.91908
33.91,5.8542
33.91,10.9737
33.91,11.2427
33.91,11.7175
33.905,11.5143
33.9,8.21552
33.9,8.57738
33.9,11.5807
33.89,-0.0730822
33.89,1.33709
33.89,11.0845
33.89,11.3045
33.88,5.51746
33.88,11.0639
33.88,11.1081
33.88,11.3276
33.88,11.5791
33.88,11.5865
33.88,11.6769
33.87,9.66608
33.87,10.4087
33.87,10.8479
33.87,10.9131
33.87,11.3421
33.87,11.5738
33.86,0.779127
33.86,5.44677
33.86,8.62979
33.86,9.00283
33.85,1.45475
33.85,11.3306
33.85,11.4934
33.846,11.424
33.84,1.26627
33.84,10.3655
33.84,10.9225
33.84,10.9543
33.84,11.4095
33.84,11.6198
33.83,2.93149
33.83,8.59561
33.83,11.6362
33.83,11.6534
33.829,11.448
33.825,-1.72911
33.82,0.125777
33.82,7.03547
33.82,10.44
33.82,10.8288
33.816,-1.66883
33.816,11.4809
33.81,-1.60267
33.807,2.67825
33.807,4.76012
33.807,11.4761
33.8,5.23489
33.8,10.9132
33.8,11.2544
33.8,11.2869
33.797,11.1352
33.79,-0.388107
33.79,0.0589804
33.79,4.55029
33.79,11.5669
33.79,11.6596
33.787,11.4257
33.78,-0.763902
33.78,8.06917
33.78,10.7509
33.78,11.2025
33.78,11.3351
33.78,11.4979
33.77,-1.89424
33.77,6.35165
33.77,11.3847
33.77,11.7247
33.768,11.3968
33.76,1.93706
33.76,7.95624
33.76,9.1835
33.76,11.0673
33.76,11.1157
33.76,11.2527
33.76,11.3015
33.76,11.5833
33.757,1.44356
33.75,4.23394
33.75,11.3083
33.75,11.5795
33.75,11.6132
33.74,5.13868
33.74,11.5049
33.74,11.6327
33.73,-2.09465
33.73,7.19014
33.73,9.74692
33.73,11.5632
33.726,11.5179
33.72,4.74006
33.72,10.2249
33.72,11.1998
33.72,11.3117
33.72,11.324
33.72,11.4676
33.72,11.5285
33.72,11.6547
33.717,11.3067
33.717,11.4982
33.711,3.01869
33.71,7.86277
33.71,8.43611
33.71,8.56305
33.71,11.1236
33.71,11.3615
33.71,11.555
33.707,7.10489
33.707,11.4924
33.7,11.1303
33.696,11.5464
33.692,11.567
33.69,3.38327
33.69,6.6015
33.69,8.86266
33.69,11.5809
33.69,11.599
33.69,11.6134
33.69,11.6177
33.68,10.2043
33.68,11.2833
33.68,11.601
33.68,11.632
33.68,11.6917
33.67,-1.7187
33.67,10.9275
33.67,11.3815
33.667,11.4575
33.66,1.18752
33.66,4.77896
33.66,8.459
33.66,9.02449
33.66,11.3101
33.657,8.62013
33.657,11.3364
33.657,11.5098
33.65,11.4463
33.65,11.5189
33.649,11.4575
33.641,10.8076
33.64,9.75073
33.64,11.3714
33.638,11.498
33.63,7.1385
33.63,11.1739
33.63,11.3099
33.63,11.5456
33.628,5.95655
33.62,6.26119
33.62,9.46421
33.62,10.896
33.62,11.4462
33.62,11.6593
33.62,11.6643
33.61,1.84996
33.61,10.6338
33.61,11.2681
33.608,2.22944
33.6,-0.258143
33.6,9.71817
33.6,11.0559
33.598,3.68413
33.593,11.4067
33.59,2.53091
33.59,6.49427
33.59,10.1594
33.59,10.2989
33.59,11.1456
33.59,11.2967
33.588,10.18
33.58,0.32008
33.58,5.09702
33.58,5.87557
33.58,6.18653
33.58,7.1785
33.578,-0.419225
33.57,7.7642
33.57,9.21784
33.57,10.7704
33.57,11.133
33.57,11.3285
33.57,11.6762
33.57,11.6779
33.57,11.7345
33.568,4.76332
33.568,8.1492
33.568,11.4317
33.56,7.12136
33.56,7.51473
33.56,7.57313
33.56,10.8725
33.56,11.2709
33.56,11.3029
33.56,11.3909
33.56,11.4722
33.558,11.5236
33.55,-0.277095
33.55,1.13675
33.55,6.34377
33.55,11.332
33.55,11.4347
33.54,1.70314
33.54,3.07545
33.54,7.61981
33.54,10.3703
33.54,11.2416
33.54,11.346
33.54,11.6149
33.54,11.6299
33.53,8.71101
33.53,11.2022
33.53,11.4755
33.53,11.6122
33.528,11.5133
33.52,-0.644262
33.52,4.83517
33.52,10.4014
33.52,11.1321
33.52,11.3661
33.52,11.3867
33.512,11.5318
33.51,9.16704
33.51,11.2101
33.51,11.3891
33.51,11.4591
33.51,11.5859
33.508,11.472
33.5,1.01686
33.5,4.54092
33.5,10.9311
33.5,11.5537
33.5,11.6374
33.49,-2.09377
33.49,6.29081
33.49,10.7987
33.49,11.6791
33.49,11.7047
33.488,0.164774
33.488,9.52575
33.488,11.1186
33.488,11.499
33.48,6.25332
33.48,6.33419
33.48,7.36554
33.48,11.0232
33.48,11.2397
33.48,11.3415
33.48,11.4302
33.48,11.5128
33.48,11.5396
33.48,11.5812
33.48,11.6343
33.48,11.6375
33.48,11.6766
33.478,11.0263
33.47,-0.170098
33.47,9.33751
33.47,9.72007
33.47,10.2781
33.469,11.5736
33.46,-1.65279
33.46,9.04295
33.46,11.2361
33.46,11.394
33.46,11.3986
33.46,11.5294
33.46,11.5449
33.45,9.43354
33.45,10.7356
33.45,11.0928
33.45,11.5159
33.45,11.6118
33.44,-0.655058
33.44,9.00375
33.44,11.2583
33.44,11.344
33.44,11.5029
33.44,11.6843
33.435,11.4033
33.43,7.7038
33.43,11.4286
33.43,11.5669
33.429,6.70371
33.429,10.1434
33.423,11.5294
33.42,4.94422
33.42,9.36645
33.42,11.1506
33.41,4.95516
33.41,11.0567
33.41,11.193
33.41,11.469
33.41,11.588
33.409,2.78144
33.4,-1.72934
33.4,4.06338
33.4,5.28556
33.399,11.4139
33.39,2.71585
33.39,11.11
33.39,11.2536
33.39,11.2602
33.39,11.4078
33.39,11.459
33.389,11.1687
33.389,11.3242
33.38,7.91266
33.38,8.42286
33.38,11.0803
33.38,11.1055
33.38,11.5123
33.38,11.5462
33.38,11.6245
33.379,11.371
33.379,11.4582
33.373,11.4633
33.373,11.5741
33.37,4.84798
33.37,9.12168
33.37,11.2284
33.37,11.428
33.37,11.5573
33.37,11.5627
33.363,11.5124
33.36,0.884013
33.36,3.76195
33.36,9.64532
33.36,11.216
33.36,11.5829
33.36,11.6633
33.35,-0.444047
33.35,1.28021
33.35,2.74567
33.35,7.51201
33.35,8.90226
33.35,11.5598
33.35,11.6725
33.35,11.6728
33.349,11.432
33.349,11.5038
33.349,11.5606
33.348,11.5217
33.34,4.53886
33.34,11.5052
33.34,11.532
33.34,11.6699
33.33,-0.527273
33.33,6.17311
33.33,11.1785
33.33,11.3216
33.33,11.3684
33.329,-1.61484
33.32,7.16077
33.32,8.39289
33.32,9.69387
